,Episode,Reward,avg_reward,Step,Explore,PCT_Explore,Epsilon,Avg_velocity,Max_velocity,Map
0,1,-7.274821079352626,-3.637410539676313,20,20,100.0,0.99995,3.380952380952381,10.0,refmap3-3
1,2,-1.9052276153495065,-3.060016231567378,29,29,100.0,0.9999000025,5.866666666666666,13.0,refmap3-2
2,3,-7.2548623283088345,-4.108727755752742,26,26,100.0,0.999850007499875,4.333333333333333,12.0,refmap3-5
3,4,-5.1002148135991785,-4.3070251673220294,26,26,100.0,0.9998000149995,3.5925925925925926,9.0,refmap3-2
4,5,4.863487395493475,-2.778606406852779,23,23,100.0,0.99975002499875,4.958333333333333,11.0,refmap3-8
5,6,5.511766487437608,-1.5942674219541522,27,27,100.0,0.9997000374975,5.25,9.0,refmap3-8
6,7,9.751886912242114,-0.17599813017961896,41,41,100.0,0.9996500524956251,6.428571428571429,12.0,refmap3-8
7,8,9.040371075958154,0.848042892724578,59,59,100.0,0.9996000699930003,7.183333333333334,11.0,refmap3-7
8,9,-6.138491969794743,0.1493894064726459,31,31,100.0,0.9995500899895007,4.125,8.0,refmap3-4
9,10,-2.600190285775221,-0.10057238373170563,24,24,100.0,0.9995001124850013,3.64,8.0,refmap3-2
10,11,6.1454702206813465,0.41993116663604874,36,36,100.0,0.999450137479377,4.702702702702703,11.0,refmap3-8
11,12,-1.8460661039830861,0.24562368428073064,30,30,100.0,0.9994001649725031,4.741935483870968,10.0,refmap3-1
12,13,17.7887352867016,1.4987030844536497,93,93,100.0,0.9993501949642545,6.4361702127659575,11.0,refmap3-7
13,14,-0.04313843255911243,1.3959136499861322,24,24,100.0,0.9993002274545063,6.28,12.0,refmap3-7
14,15,-10.009505622137727,0.6830749454783911,24,24,100.0,0.9992502624431336,2.44,8.0,refmap3-1
15,16,9.017716463467256,1.1733479759483243,29,29,100.0,0.9992002999300115,5.833333333333333,11.0,refmap3-8
16,17,-1.5645050678321346,1.0212450290716322,27,27,100.0,0.999150339915015,5.357142857142857,11.0,refmap3-5
17,18,-1.2322622916839907,0.90263938061081,30,30,100.0,0.9991003823980192,6.129032258064516,11.0,refmap3-4
18,19,4.0511731301815,1.0600660680893443,51,51,100.0,0.9990504273788994,6.153846153846154,11.0,refmap3-2
19,20,0.4445805157303093,1.0307572322627236,33,33,100.0,0.9990004748575304,4.676470588235294,10.0,refmap3-6
20,21,-7.368876686466622,0.6489556905022988,30,30,100.0,0.9989505248337875,3.4838709677419355,7.0,refmap3-1
21,22,-5.626914121683113,0.37609178562467227,25,25,100.0,0.9989005773075459,3.423076923076923,7.0,refmap3-1
22,23,-7.5752719205942745,0.04478496453221614,23,23,100.0,0.9988506322786805,3.0833333333333335,10.0,refmap3-1
23,24,-7.330685018025129,-0.25023383477007766,28,28,100.0,0.9988006897470666,3.9310344827586206,10.0,refmap3-1
24,25,-16.066759890382393,-0.858561759985936,28,28,100.0,0.9987507497125793,1.8620689655172413,9.0,refmap3-7
25,26,-0.5447927626886675,-0.8469406860119632,52,52,100.0,0.9987008121750937,6.113207547169812,10.0,refmap3-4
26,27,5.837701358378595,-0.6082034701408717,61,61,100.0,0.9986508771344849,7.161290322580645,12.0,refmap3-7
27,28,3.904470967776848,-0.45259400676439865,40,40,100.0,0.9986009445906281,6.2439024390243905,10.0,refmap3-1
28,29,-0.6327339976787982,-0.45859867312821195,46,46,100.0,0.9985510145433986,5.808510638297872,10.0,refmap3-4
29,30,5.504591455175248,-0.26623770124745516,31,31,100.0,0.9985010869926714,4.75,12.0,refmap3-8
30,31,6.450617267583388,-0.056335983471491324,31,31,100.0,0.9984511619383217,4.625,11.0,refmap3-8
31,32,-8.048115668853985,-0.298511125452779,33,33,100.0,0.9984012393802248,4.323529411764706,10.0,refmap3-4
32,33,-0.6405780301215103,-0.3085719167665652,42,42,100.0,0.9983513193182558,5.395348837209302,11.0,refmap3-6
33,34,1.560538632943989,-0.2551687582034065,26,26,100.0,0.9983014017522899,5.814814814814815,11.0,refmap3-4
34,35,2.002134628289851,-0.19246588635637157,53,53,100.0,0.9982514866822023,5.611111111111111,10.0,refmap3-4
35,36,4.008867505490004,-0.07891633522538845,27,27,100.0,0.9982015741078683,5.107142857142857,12.0,refmap3-8
36,37,-6.924685313412537,-0.2590681504408397,23,23,100.0,0.9981516640291629,4.208333333333333,10.0,refmap3-5
37,38,-2.2957578027342516,-0.31129096203810663,25,25,100.0,0.9981017564459614,5.076923076923077,9.0,refmap3-1
38,39,-1.8529471878937671,-0.34983236768449816,46,46,100.0,0.9980518513581391,4.808510638297872,8.0,refmap3-7
39,40,-10.229129963024969,-0.5907908456196316,36,36,100.0,0.9980019487655712,3.891891891891892,10.0,refmap3-2
